"Reference","Value","Datasheet","Footprint","Qty","DNP","Mfr.","Mfr. No","Mouser No"
"C1,C8,C10","4.7µF","~","Capacitor_SMD:C_0402_1005Metric","3","","Murata Electronics","GRM155R61A475MEAAD","81-GRM155R61A475MEAD "
"C2,C3,C4,C5,C6,C7,C9,C11,C12,C13,C14,C15","100nF","~","Capacitor_SMD:C_0402_1005Metric","12","","Murata Electronics","GRM155R71A104KA01D","81-GRM155R71A104KA1D"
"D1,D2","PESD2CANFD24L-T","~","Package_TO_SOT_SMD:SOT-23","2","","Nexperia","PESD2CANFD24L-TR","771-PESD2CANFD24L-TR"
"D3,D5,D7,D8,D11,D12","GREEN","~","LED_SMD:LED_0603_1608Metric","6","","Wurth Elektronik","150060GS55040","710-150060GS55040"
"D4,D9","RED","~","LED_SMD:LED_0603_1608Metric","2","","Wurth Elektronik","150060RS55040","710-150060RS55040"
"D6,D10","YELLOW","~","LED_SMD:LED_0603_1608Metric","2","","Wurth Elektronik","150060YS55040","710-150060YS55040"
"D13","BLUE","~","LED_SMD:LED_0603_1608Metric","1","","Wurth Elektronik","150060BS55040","710-150060BS55040"
"F1","500mA","~","Fuse:Fuse_0603_1608Metric","1","","Bourns","MF-FSML050/8-2","652-MF-FSML050/8-2"
"FB1","742792641 ","~","Inductor_SMD:L_0603_1608Metric","1","","Wurth Elektronik","742792641 ","710-742792641"
"J1","Conn_ARM_JTAG_SWD_10","~","Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical_SMD","1","","Samtec","FTSH-105-01-F-DV-K","200-FTSH10501FDVK"
"J2","DE9_Plug_MountingHoles"," ~","Connector_Dsub:DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset9.90mm_Housed_MountingHolesOffset11.32mm","1","","Amphenol FCI","D09P33E6RV09LF","649-D09P33E6RV09LF"
"J3","USB_C_Receptacle_USB2.0_16P","~","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","1","","GCT","USB4105-GF-A-060","640-USB4105-GF-A-060"
"L1","744232090","~","Inductor_SMD:L_CommonMode_Wurth_WE-CNSW-1206","1","","Wurth Elektronik","744232090","710-744232090"
"R1,R2","5.1kΩ","~","Resistor_SMD:R_0402_1005Metric","2","","Vishay / Dale","CRCW04025K10FKED","71-CRCW0402-5.1K-E3"
"R3,R4","4.7kΩ","~","Resistor_SMD:R_0402_1005Metric","2",""," YAGEO","RC0402FR-074K7L","603-RC0402FR-074K7L"
"R5,R6","10kΩ","~","Resistor_SMD:R_0402_1005Metric","2","","YAGEO","RC0402FR-0710KL","603-RC0402FR-0710KL"
"SW1,SW2","SW_Push","~","Button_Switch_SMD:SW_SPST_B3U-1000P","2","","Omron Electronics","B3U-1000P","653-B3U-1000P"
"U1","STM32G0B1KEUx","~","Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm","1","","STMicroelectronics","STM32G0B1KEU6 ","511-STM32G0B1KEU6"
"U2,U3","MCP2542FDxMF","~","Package_DFN_QFN:DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm","2","","Microchip Technology","MCP2542FDT-E/MF","579-MCP2542FDT-E/MF"
"U5","824015043","~","Package_TO_SOT_SMD:SOT-23-6","1","","Wurth Elektronik","824015043","710-824015043"
"U6","KTD2027","~","Package_DFN_QFN:DFN-8-1EP_1.5x1.5mm_P0.4mm_EP0.7x1.2mm","1","","Kinetic Technologies","KTD2027EWE-TR","389-KTD2027EWETR"
"U7","KTD2027","~","Package_DFN_QFN:DFN-8-1EP_1.5x1.5mm_P0.4mm_EP0.7x1.2mm","1","","Kinetic Technologies","KTD2027BEWE-TR","389-KTD2027BEWE-TR"
"U8","KTD2026","~","Package_DFN_QFN:DFN-8-1EP_1.5x1.5mm_P0.4mm_EP0.7x1.2mm","1","","Kinetic Technologies","KTD2026CEWE-TR","389-KTD2026CEWE-TR"
"U9","TLV75733PDRV","~","Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm","1","","Texas Instruments","TLV75733PDRVR","595-TLV75733PDRVR"
